at_gw1,at_gw2,at_gw3,window,rip,gw1,gw2,gw3,rmse_mack,rmse_look,min_mack,min_look,max_mack,max_look
0.910897991,0.250711423,0.322116766,12,1.24797136,1.423675366,0.822550914,1.937095852,2.000672322,2.409238094,1.938440167,-1.297844572,1.479570121,-3.188591634
0.989483584,0.872010362,0.934355214,6,1.460585408,0.683810453,1.884090679,1.707744431,3.121289386,1.63146766,2.93033535,1.453199133,2.883369866,-0.34451601
0.884056734,0.267201618,0.234854695,7,0.582383624,0.900471404,0.71482646,1.745163534,4.06445354,2.297494294,1.745531786,-2.07797486,6.045283423,3.033673023
0.840804761,0.938047875,0.697050277,4,1.924446596,1.221916263,0.789335974,1.129356208,2.313896405,1.372187413,2.232911497,0.415268346,1.910502065,-1.390828062
0.421622717,0.978740899,0.401378349,13,1.571924579,1.107568193,0.890629219,1.494197362,0.858865938,2.720185315,-0.612693386,-1.917634882,-1.016130448,-3.452108384
0.519521273,0.21120819,0.355319435,3,0.558794744,1.350086811,1.469023557,0.95674477,2.604311122,2.833756955,-0.228601966,-3.567960543,4.35587104,3.028707072
0.852229742,0.108605503,0.202459295,6,1.079326026,1.044012194,1.907552696,0.82415734,2.321664812,2.515549922,2.163084697,-1.972337827,2.028517996,-3.020887221
0.427115981,0.393954995,0.876713812,2,1.055996074,0.992448717,1.13124479,1.360449425,0.663743125,1.88147841,-0.257295327,-1.638587126,-0.055570252,-1.925275482
0.925997971,0.291792385,0.134988521,3,1.308596259,0.669846347,0.803150167,1.660425144,2.925782892,2.148144286,2.630599763,-0.926063208,2.658613842,-2.66050466
0.934400133,0.074035688,0.562943239,7,0.837964122,0.533636603,0.877275088,1.742275701,3.609226061,1.351313102,2.244425136,-1.199236149,4.831143474,1.135765476
0.449329775,0.340608706,0.7329629,12,1.871196127,0.990990335,1.882096576,1.469914301,0.718772565,2.810503852,-0.429943118,-1.953902783,-0.8262752,-3.618402754
0.489499952,0.211264397,0.523044146,8,0.84874167,0.513747669,1.72161333,0.711179406,1.739850178,2.18236483,-0.366029474,-3.108477916,2.879164418,0.443112393
0.96334766,0.957767708,0.538331661,6,0.510722908,1.114337356,1.745962366,1.70563063,4.594846446,2.956888422,2.296983394,0.275990236,6.657016442,4.273207742
0.999410262,0.292303819,0.043730407,6,1.908780475,1.794968865,0.656342828,0.878325191,3.176404018,1.862283902,3.073637075,-0.464042141,2.740117877,-2.033734087
0.292961932,0.927936014,0.922690613,6,1.812642966,0.856670048,0.668987288,0.687457832,1.179343833,2.703280707,-1.016763895,-2.130249876,-1.272753635,-3.191955968
0.067660346,0.875535734,0.358470696,10,1.227138927,1.689643032,1.690610697,0.504207948,2.419185237,2.874296551,-2.255487267,-2.204932929,-2.567646822,-3.535927356
0.527735867,0.146240911,0.694181457,4,1.666498917,1.091861774,1.92241045,1.420048734,0.605584214,2.866829715,0.415485264,-1.971392454,-0.061396902,-3.712338989
0.582334064,0.49074698,0.256815914,8,1.719514254,1.697397063,0.990832399,0.574042012,0.625824221,2.719381759,0.541879759,-1.880803261,-0.039766035,-3.494592763
0.550226266,0.88720589,0.0696597,3,0.918827871,0.942708489,0.544555581,0.635309628,1.463036287,1.630037395,0.333282196,-2.072906986,2.07342723,0.450262195
0.133141308,0.822940716,0.65491894,13,1.5048265,0.58377845,1.040901184,0.566764144,2.019212405,3.25334658,-2.017727477,-2.834332999,-1.979542593,-3.690210558
0.527647649,0.880887172,0.770944181,10,1.079183186,1.985129593,0.664830846,1.394888103,0.473144983,1.800846705,0.133316199,-1.267513851,-0.381989836,-2.213223055
0.70880212,0.205586148,0.673808681,13,1.140922706,1.323845449,0.73731574,1.374256051,0.919157944,2.453547092,0.816863538,-1.62680326,0.287074847,-3.259444719
0.056954545,0.311562179,0.116983747,6,1.440863246,1.40055754,1.757064194,0.542095468,2.410935851,4.083686461,-2.28968834,-3.575007142,-2.505492709,-4.6553387
0.013396341,0.252419709,0.835542978,2,1.122803938,0.792380501,1.347799098,1.766960728,2.530501261,3.057916601,-2.535535994,-2.606073771,-2.476768791,-3.611947165
0.556407488,0.884213672,0.796878404,7,1.549842745,1.482069017,1.367764018,1.65657669,0.590332946,1.536847218,0.450390591,-0.257982671,-0.091102657,-2.288299448
0.521984915,0.488425976,0.998953395,7,0.564243771,1.345808002,1.161674941,1.813786305,2.50907842,2.510374113,-0.334741737,-1.830482616,4.243362618,3.6951448
0.169811097,0.770144582,0.599504933,13,0.682306411,1.347869192,1.811903282,1.472583739,2.122167492,2.183670647,-2.437878964,-2.740066541,2.285452866,2.092392041
0.496322682,0.432457045,0.8181261,6,0.96753867,1.422666211,1.001139541,1.39043628,0.803114961,1.461045203,0.057103071,-1.654534568,0.939601643,-0.557867104
0.986887638,0.646288087,0.142894507,9,1.735227268,1.534359536,1.058564928,1.349777468,2.753934317,1.865852689,2.650590894,-0.482406254,2.321985818,-2.200205521
0.360111951,0.226303212,0.723066315,9,0.693234961,1.71492569,1.290779295,1.247085834,1.579654974,2.49877864,-1.149615811,-3.437448941,2.319958784,1.896080056
0.414018406,0.27631713,0.059653603,5,1.72073196,0.639088376,0.925574587,1.833603641,0.633416707,3.708459495,-0.301076026,-2.989564526,-0.615888669,-4.433748844
0.819207418,0.347248197,0.093684487,13,1.55791785,1.676944985,1.923972018,1.283055296,1.431454586,2.927780442,1.389646593,-1.908271253,0.818351934,-3.886903345
0.465445604,0.355329502,0.396535781,9,1.712481124,1.63306289,1.161478801,1.815766765,0.563127028,3.088764947,-0.148800874,-2.236174244,-0.725771774,-3.924226763
0.800432123,0.111792297,0.455512484,10,1.134480114,1.725135744,1.560384629,1.737344124,1.597318416,2.677786486,1.575706569,-1.752019326,1.025330061,-3.588394254
0.490052931,0.581837654,0.741619489,9,1.242406376,0.783380097,0.794129615,1.054986661,0.502907415,2.541600929,-0.075283957,-1.78888079,-0.45631082,-3.213677465
0.444299223,0.761036717,0.587620645,12,0.505658025,1.459509676,1.881544328,1.575891787,2.436424778,2.515254262,-1.14522142,-2.292434718,4.047226578,3.455100239
0.494334373,0.022520795,0.139614557,13,0.716372392,0.727804908,0.699328046,1.350460177,2.247746245,2.815466045,-0.782916243,-4.212846799,3.797409872,1.628378652
0.767635624,0.701960776,0.328399893,4,0.842805494,1.089233113,0.993406665,0.651537343,2.707144812,1.466091708,1.566113702,-0.94066489,3.535335101,1.652839175
