at_gw1,at_gw2,at_gw3,window,rip,gw1,gw2,gw3,hyp_lag,hyp_frac1,hyp_frac2,hyp_frac3,rmse_mack,rmse_look,min_mack,min_look,max_mack,max_look
0.545385774,0.510700695,0.057311857,4,0.913069058,0.530430151,1.63968915,1.321316554,7,0.984365819,0.742633202,0.50234461,1.371602925,1.682920507,1.446946589,0.010477012,0.648385558,-2.814386467
0.267813007,0.701629666,0.490844206,10,0.520414933,0.98730835,0.748158579,1.13453753,22,0.776953895,0.292404011,0.272189506,0.871534012,1.132168482,0.648180271,1.251728331,0.742117372,-0.200980412
0.427013793,0.279740196,0.143017896,11,0.683326429,1.098307745,0.617531282,0.553256803,19,0.288302272,0.151761267,0.174386772,1.146665897,0.934750099,0.194408976,-0.088516767,1.638262966,-0.952478633
0.586827823,0.049679415,0.455353268,3,1.557517902,1.872973984,1.42789721,0.730667509,10,0.798912692,0.811239986,0.394099195,0.874113441,3.405082307,0.95467097,-1.735954617,-0.044345599,-4.914042812
0.714669704,0.356742949,0.184830422,5,1.484944967,1.030268996,0.97968345,0.528128549,23,0.55632156,0.469244763,0.05374382,1.405089104,2.61596464,1.5472332,-1.20408168,0.601732218,-3.825666262
0.942524905,0.532686949,0.683852237,2,1.519520654,0.713589674,0.569010388,1.97132846,21,0.024183199,0.449507586,0.302985573,3.104763989,1.481342655,2.666760847,0.735252404,2.686391127,-2.312258363
0.897660796,0.293802861,0.107307039,11,0.614292247,0.715863599,0.752072106,1.857386673,5,0.736741538,0.397969357,0.444459906,3.436785346,1.220979757,2.508991344,1.499711349,3.54271932,-0.780111553
0.806155166,0.465588188,0.579312756,5,1.339664228,0.979677117,0.850757752,0.626786016,9,0.665615423,0.841568056,0.278574813,1.981086472,2.083312388,2.136359217,-0.246823765,1.187287055,-3.344518434
0.941365707,0.209678791,0.953837248,4,1.321570617,1.336540152,1.708507399,1.61133487,5,0.681590868,0.556187029,0.110604037,2.892361242,1.63716009,2.944454537,0.171221823,2.159181349,-2.656411679
0.064207756,0.814628252,0.052785352,2,1.642097599,1.135417046,0.773434214,0.729844897,15,0.837575083,0.375775623,0.629571079,2.340527913,3.95321267,-1.785417331,-2.251912742,-2.916390442,-5.452556807
