at_gw1,at_gw2,at_gw3,window,rip,hyp_lag,hyp_frac1,hyp_frac2,hyp_frac3,rmse_mack,rmse_look,min_mack,min_look,max_mack,max_look
0.191830435,0.572169247,0.309307123,12,1.917890117,11,0.4977876,0.858772211,0.7232402,1.824619659,3.804239414,-1.373376912,-2.068013335,-2.311990029,-5.339283752
0.916407475,0.161792729,0.667200953,11,0.63272116,7,0.103182364,0.774936302,0.226225285,3.524113071,1.289239246,1.917725428,1.435997809,4.765486853,0.129888727
0.175370567,0.223984348,0.512051018,8,1.299822292,7,0.190369631,0.240048404,0.387267936,1.809785484,3.957080556,-1.603195432,-2.348673796,-2.033609164,-5.424368643
0.909977732,0.827200323,0.441778514,9,1.823349058,10,0.82192501,0.288212337,0.988242529,2.184169614,1.954737544,2.309946835,0.151002764,1.259847987,-3.0874664
0.500258643,0.219144517,0.265580982,3,0.744216391,20,0.006587654,0.55684785,0.524354413,2.067865112,1.41951248,-0.1398506,0.508998466,3.398311641,-2.354427603
0.18059139,0.04526788,0.002683081,3,1.991876468,10,0.177042564,0.756664185,0.761414589,1.721504618,4.597344866,-1.469252027,-2.905608956,-1.977374395,-6.172025354
0.398837832,0.03126805,0.752045766,13,1.489213029,20,0.530081034,0.750628011,0.61298293,1.01082733,3.783808002,-0.48377434,-2.039306175,-1.521944321,-5.318063968
0.701371483,0.1902462,0.093831353,11,1.95396841,5,0.666048293,0.360569166,0.727417366,1.012856054,3.293696128,1.059229299,-1.588918406,0.110758002,-4.822454359
0.941332222,0.389382768,0.577789624,10,1.420113453,6,0.286326543,0.678424498,0.932314933,2.345316566,2.160390509,2.329240799,-0.203190265,1.696282788,-3.423304786
0.421210819,0.249272304,0.057834171,4,1.417226609,3,0.377609795,0.747265109,0.239902855,0.627148127,3.642953903,-0.126522166,-2.184136154,-0.745786005,-4.977120866
0.849377811,0.11660295,0.284847508,10,1.150531707,4,0.06996588,0.877907919,0.478441883,1.863973466,2.724115908,1.797698941,-1.074814726,1.365831376,-4.093451086
0.598513056,0.37980015,0.681363588,3,1.5933834,6,0.730677739,0.128179561,0.379640757,0.961777934,2.505047694,1.026697097,-0.734892306,0.116088374,-3.7903258
0.913437104,0.350535369,0.242675697,13,1.91679692,14,0.225186098,0.167640644,0.711610985,1.868468577,2.688526338,1.875142051,-0.861402736,1.170791454,-4.153493863
0.913972186,0.591809148,0.942954703,11,1.002585394,10,0.879788767,0.520330711,0.725981016,2.286020882,1.441596624,2.415498214,0.965840932,1.395992227,-2.178083835
0.048242541,0.88292344,0.231534342,7,1.187255858,10,0.615951088,0.173311075,0.948757495,2.411333199,3.656616722,-1.922905312,-1.969597342,-2.910309903,-5.168266403
0.155799083,0.171489976,0.372746262,2,0.852420673,19,0.309209261,0.089281226,0.309416538,0.966993849,2.195113699,-1.06007912,-0.890102013,-0.226484416,-3.216290994
0.719852035,0.185053742,0.854716514,12,0.867272411,6,0.113372056,0.662486154,0.722531351,1.82280446,1.358089089,0.871024691,0.752516354,2.371818639,-2.200387528
0.902019981,0.340002473,0.848131314,6,0.948210834,5,0.528133346,0.392114582,0.179560527,2.929130812,1.001873959,2.704451292,0.837410333,2.562597662,-1.138356146
0.637551926,0.667715247,0.824691357,10,1.490288837,13,0.640950983,0.289482749,0.49568564,0.784622547,2.344190386,0.845698128,-0.484748095,-0.243341515,-3.743057679
0.570353775,0.664829219,0.326690761,12,1.087133749,8,0.806871583,0.424477083,0.916774887,0.613588611,2.680716977,0.482215104,-0.919677578,-0.664563652,-4.06397431
0.815936312,0.743914075,0.743018819,6,1.501660027,17,0.093681593,0.215773651,0.148741231,2.019516252,1.612459958,2.008312947,0.341356051,1.526523256,-2.58593857
0.386431781,0.222422417,0.451042662,7,0.923659666,16,0.215195666,0.563273792,0.326019082,0.52193967,2.098705967,-0.19957326,-0.599550129,0.366561647,-3.271600201
0.872142512,0.227413702,0.906025934,5,1.993593556,14,0.508807366,0.342584495,0.647521168,2.369772838,2.041248885,2.479570331,-0.068699502,1.632455015,-3.296979795
0.184705576,0.239306633,0.954829351,9,0.72275357,7,0.639887202,0.783289854,0.561810486,0.633362305,1.166490781,-0.645298902,0.847807938,-0.046795743,-1.836476002
0.354882564,0.079382866,0.338254497,9,0.945643417,22,0.02627961,0.933858035,0.264868348,0.888973025,2.620319436,-0.884963585,-1.349599576,0.702918501,-3.611076265
0.335826516,0.09629416,0.588837103,6,1.84862279,6,0.090548698,0.848513032,0.876297545,0.984975473,3.70117404,-0.732179623,-2.007886444,-1.163835058,-5.211786252
0.66718365,0.339857067,0.350922925,6,1.509312378,22,0.678472082,0.43532791,0.19339088,1.072604852,2.83630848,1.205007679,-1.241962145,0.166904523,-4.225002685
0.340981065,0.733727697,0.774441825,3,1.012041192,19,0.937342137,0.871160124,0.953834073,0.671958786,2.056185746,0.001127505,0.027899848,-1.118532966,-3.228683487
0.964071582,0.418180596,0.770889995,13,1.50242503,20,0.65744567,0.293448599,0.685619928,2.012362632,2.289297033,2.080725016,-0.314063715,1.052880689,-3.595899614
0.687076826,0.899584504,0.637446967,6,1.143692711,4,0.177290183,0.09274159,0.912270446,1.278907651,1.72328995,1.26706841,-0.025695524,0.712661969,-2.796944297
0.617207122,0.798130126,0.191393016,10,1.658011571,4,0.234256373,0.996961969,0.916250307,0.708458428,2.679479742,0.604840499,-0.905742114,-0.028099082,-4.124798437
0.307836903,0.235862666,0.451339743,9,1.776868275,8,0.396090139,0.920091556,0.244653436,1.227956745,3.720263891,-0.836602351,-2.208683915,-1.625480817,-5.169665001
0.518197899,0.686313274,0.014234042,4,0.573627317,8,0.259205895,0.869651717,0.537758953,2.18492744,1.421972692,0.429999395,1.889865884,3.153664861,-0.716463497
0.916549461,0.178839937,0.70427343,9,0.961668382,4,0.162038283,0.928759245,0.993304504,2.717933165,1.468084278,2.239062014,0.625741146,2.797769051,-2.313939954
0.548240732,0.336067107,0.839973762,4,0.587185067,9,0.485569726,0.658820708,0.414050936,2.116413989,1.596283364,1.259961834,2.107588171,2.224875095,-0.32350938
0.755675875,0.820424495,0.51666494,6,0.858077118,16,0.467014643,0.449373552,0.614690219,2.323952912,1.396527227,2.23223225,1.638397984,2.01185334,-1.492263053
0.775263497,0.107282594,0.262693333,2,0.741678648,14,0.681035924,0.514505609,0.963303642,2.973690891,1.394463009,2.819573246,1.229965806,2.543802877,-1.852041253
0.850023654,0.051693258,0.732347413,13,1.834518259,15,0.973600798,0.407806929,0.000682543,1.455327062,2.632440553,1.560698491,-1.308937909,0.404122903,-3.778792215
0.742100268,0.445550037,0.16584918,11,1.951385407,6,0.796466314,0.580582744,0.071461097,1.187277361,2.737038937,1.303469097,-1.281135451,0.248827673,-4.017900711
0.708261153,0.341380623,0.272587735,8,0.890608679,7,0.404121806,0.628006152,0.301785213,1.841988501,1.285076485,1.441709301,0.131024333,1.664507642,-2.16891291
0.708422915,0.880781067,0.811498714,10,1.857794967,2,0.500130379,0.958683137,0.323446198,1.110446271,1.835206811,1.092402808,0.023064112,0.38992757,-2.935974022
0.785403316,0.17844266,0.607916889,3,1.182747876,5,0.668419059,0.185582343,0.999018769,1.993766027,2.299766,2.046318319,-0.580412091,1.28436779,-3.467441182
0.661820936,0.770764862,0.991745602,12,1.292278884,11,0.403861864,0.307342464,0.010356679,0.780961771,1.944667908,0.783888205,-0.454103038,-0.148792575,-3.006656488
0.109132515,0.319585227,0.187260432,9,1.327562253,23,0.155434423,0.86252663,0.839341531,2.129605645,4.371842169,-1.912928332,-2.626300555,-2.365326803,-5.970898161
0.388493798,0.17604783,0.840435681,3,1.225501269,13,0.59611791,0.549424367,0.66615594,0.758972949,3.223528006,-0.133657738,-1.475872038,-1.149739704,-4.700727541
0.978355734,0.502400626,0.378940986,8,1.302769303,5,0.207097809,0.227555586,0.624095873,2.779043284,1.883121958,2.698166052,0.101786189,2.27058602,-3.011543609
