at_gw1,at_gw2,at_gw3,window,rip,rmse_mack,rmse_look,min_mack,min_look,max_mack,max_look
0.461457021,0.981999472,0.242489906,8,1.94934942,0.533276104,2.435544197,-0.164736172,-1.580712055,-0.585029722,-3.167439591
0.106305752,0.194786717,0.934565967,7,0.549514309,2.936333265,3.682295434,-3.083737851,-5.19225584,3.870566089,3.749778373
0.993341598,0.973283134,0.043408815,5,1.347425357,3.219064179,1.574588777,3.061151359,0.440609076,2.946184632,-1.063954974
0.159161354,0.788254057,0.747218818,8,1.787824585,1.881638212,2.94805301,-1.790268498,-2.400538207,-1.955593132,-3.505664897
0.638696071,0.750559806,0.781662653,8,1.699902625,0.885480134,1.854631496,0.800284935,-0.807579519,0.390319981,-2.589137292
0.098186763,0.010593292,0.236627917,13,1.048971858,1.99590288,3.891352444,-2.231946967,-4.275353261,-1.515051922,-3.458007315
0.783662343,0.479008529,0.976342579,6,0.666566711,3.344272521,2.376333299,1.373091169,-1.140321422,4.936644189,3.522681611
0.026912852,0.75668096,0.60064955,12,0.628881193,2.828188308,3.27352712,-3.41842703,-4.637585625,3.038218369,3.118962822
0.33968979,0.255918443,0.535786114,13,0.966274046,1.005858154,2.570913683,-1.174397166,-3.300726472,0.406709328,-1.242256575
0.357024828,0.543967187,0.581534,13,1.15581186,1.113508166,3.085167427,-0.933655851,-2.495045337,-1.256261655,-3.717876672
0.132200636,0.510391185,0.902724472,4,1.453071015,1.969967321,3.127836069,-1.876570088,-2.618694166,-2.023979524,-3.650608039
0.346915918,0.465599531,0.149742804,3,0.974916796,0.841480629,2.425014822,-0.787591699,-2.981982721,0.563995074,-1.322071949
0.198178693,0.818327146,0.296650059,8,1.932410463,1.693921155,3.224531334,-1.584555922,-2.657261549,-1.788943951,-3.808674418
0.24727376,0.738605646,0.640534192,5,0.558544421,2.692402668,3.21934334,-2.085751661,-3.7684415,4.15996953,4.022698974
0.413033006,0.742782506,0.057432479,11,0.524968949,2.799779619,3.235540084,-1.380522679,-4.041668096,4.708006483,3.796566645
0.979009908,0.740934174,0.595615418,3,1.245050049,3.270829144,1.459494131,2.961870701,0.633063862,2.999369153,-1.016665119
0.066072514,0.815177611,0.445186871,8,0.660169887,2.614081266,3.047346649,-3.093262829,-4.292040845,2.866050718,2.839015885
0.976772146,0.820244538,0.234128335,10,1.060811483,2.703807135,1.316672616,2.429894347,-0.217594224,2.510222687,-0.903002169
0.775807639,0.473289643,0.345334085,7,0.503643536,3.78717709,2.908411261,1.049784125,-2.321596204,5.960659409,4.276551299
